id;Dataset;k;normalize;meka;weka;model size;status;Accuracy;Jaccard index;Hamming score;Exact match;Jaccard distance;Hamming loss;ZeroOne loss;Harmonic score;One error;Rank loss;Avg precision;Log Loss (lim. L);Log Loss (lim. D);Micro Precision;Micro Recall;Macro Precision;Macro Recall;F1 (micro averaged);F1 (macro averaged by label);AUPRC (macro averaged);AUROC (macro averaged);Build Time;Test Time;Total Time;Accuracy (per label);Harmonic (per label);Precision (per label);Recall (per label);avg. relevance (test set);avg. relevance (predicted);avg. relevance (difference)
21;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;0.468;0.468;0.468;0.0;0.532;0.532;1.0;0.0;0.175;0.717;0.468;1.036;1.963;0.468;1.0;0.468;1.0;0.637;0.602;0.468;0.5;0.329;0.002;0.331;"[""0.825"", ""0.450"", ""0.475"", ""0.425"", ""0.750"", ""0.225"", ""0.125""]";"[""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000""]";"[""0.825"", ""0.450"", ""0.475"", ""0.425"", ""0.750"", ""0.225"", ""0.125""]";"[""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000""]";"[""0.825"", ""0.450"", ""0.475"", ""0.425"", ""0.750"", ""0.225"", ""0.125""]";"[""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000""]";"[""-0.175"", ""-0.550"", ""-0.525"", ""-0.575"", ""-0.250"", ""-0.775"", ""-0.875""]"
22;flags;0;False;meka.classifiers.multilabel.BRq -P 0.4;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;flags;0;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 34 -K 30 -depth 3 -N 0;16454;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;flags;0;False;meka.classifiers.multilabel.BR;weka.classifiers.functions.MultilayerPerceptron -- -L 0.2 -M 0.1 -H 7;208435;success;0.503;0.503;0.668;0.15;0.497;0.332;0.85;0.58;0.2;0.286;0.776;0.598;0.906;0.642;0.656;0.487;0.52;0.649;0.498;0.627;0.613;2.022;0.004;2.026;"[""0.675"", ""0.775"", ""0.600"", ""0.500"", ""0.700"", ""0.625"", ""0.800""]";"[""0.415"", ""0.775"", ""0.600"", ""0.466"", ""0.605"", ""0.000"", ""0.000""]";"[""0.833"", ""0.737"", ""0.571"", ""0.444"", ""0.821"", ""0.000"", ""0.000""]";"[""0.758"", ""0.778"", ""0.632"", ""0.706"", ""0.767"", ""0.000"", ""0.000""]";"[""0.825"", ""0.450"", ""0.475"", ""0.425"", ""0.750"", ""0.225"", ""0.125""]";"[""0.750"", ""0.475"", ""0.525"", ""0.675"", ""0.700"", ""0.150"", ""0.075""]";"[""0.075"", ""-0.025"", ""-0.050"", ""-0.250"", ""0.050"", ""0.075"", ""0.050""]"
25;flags;0;False;meka.classifiers.multilabel.BRq -P 0.4;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;flags;0;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 34 -K 30 -depth 3 -N 0;16454;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;flags;0;False;meka.classifiers.multilabel.BRq -P 0.25;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;flags;0;False;meka.classifiers.multilabel.BRq -P 0.4;weka.classifiers.trees.REPTree -- -M 38 -L -1;12998;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;flags;0;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 34 -K 30 -depth 3 -N 0;16454;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
