id;Dataset;k;normalize;meka;weka;model size;status;Accuracy;Jaccard index;Hamming score;Exact match;Jaccard distance;Hamming loss;ZeroOne loss;Harmonic score;One error;Rank loss;Avg precision;Log Loss (lim. L);Log Loss (lim. D);Micro Precision;Micro Recall;Macro Precision;Macro Recall;F1 (micro averaged);F1 (macro averaged by label);AUPRC (macro averaged);AUROC (macro averaged);Build Time;Test Time;Total Time;Accuracy (per label);Harmonic (per label);Precision (per label);Recall (per label);avg. relevance (test set);avg. relevance (predicted);avg. relevance (difference)
133;flags;1;False;meka.classifiers.multilabel.RT;weka.classifiers.rules.JRip -- -N 1.3 -P -O 1;10639;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
134;flags;1;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.DecisionTable -- -E rmse -S GreedyStepwise -X 4;56664;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
135;flags;1;False;meka.classifiers.multilabel.RT;weka.classifiers.rules.JRip -- -N 1.3 -O 3;9555;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
136;flags;1;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.DecisionTable -- -E rmse -S BestFirst -X 1;53243;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
137;flags;1;False;meka.classifiers.multilabel.RT;weka.classifiers.rules.JRip -- -N 1.3 -O 3;9555;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
138;flags;1;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.DecisionTable -- -E rmse -S GreedyStepwise -X 4;56664;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
139;flags;1;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.DecisionTable -- -E rmse -S GreedyStepwise -X 4;56664;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
140;flags;1;False;meka.classifiers.multilabel.RT;weka.classifiers.rules.JRip -- -N 1.3 -O 3;9555;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
141;flags;1;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.DecisionTable -- -E rmse -S GreedyStepwise -X 4;56664;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
142;flags;1;False;meka.classifiers.multilabel.RT;weka.classifiers.trees.LMT -- -M 26 -C -W 0.31;22430;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
143;flags;1;False;meka.classifiers.multilabel.RT;weka.classifiers.rules.JRip -- -N 1.3 -O 3;9555;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
144;flags;1;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.DecisionTable -- -E rmse -S GreedyStepwise -X 4;56664;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
145;flags;1;False;meka.classifiers.multilabel.RT;weka.classifiers.rules.JRip -- -N 1.3 -O 1;9555;success;0.554;0.554;0.655;0.024;0.446;0.345;0.976;0.61;0.244;0.218;0.796;0.9;0.946;0.595;0.884;0.425;0.714;0.711;0.527;0.481;0.5;0.651;0.002;0.653;"[""0.756"", ""0.439"", ""0.561"", ""0.488"", ""0.732"", ""0.707"", ""0.902""]";"[""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000""]";"[""0.756"", ""0.439"", ""0.561"", ""0.488"", ""0.732"", ""0.000"", ""0.000""]";"[""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000"", ""0.000"", ""0.000""]";"[""0.756"", ""0.439"", ""0.561"", ""0.488"", ""0.732"", ""0.293"", ""0.098""]";"[""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000"", ""0.000"", ""0.000""]";"[""-0.244"", ""-0.561"", ""-0.439"", ""-0.512"", ""-0.268"", ""0.293"", ""0.098""]"
146;flags;1;False;meka.classifiers.multilabel.RT;weka.classifiers.trees.LMT -- -M 26 -R -W 0.31;120743;success;0.481;0.481;0.481;0.024;0.519;0.519;0.976;0.0;0.244;0.685;0.481;1.016;1.016;0.481;1.0;0.481;1.0;0.649;0.617;0.481;0.5;5.635;0.002;5.637;"[""0.756"", ""0.439"", ""0.561"", ""0.488"", ""0.732"", ""0.293"", ""0.098""]";"[""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000""]";"[""0.756"", ""0.439"", ""0.561"", ""0.488"", ""0.732"", ""0.293"", ""0.098""]";"[""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000""]";"[""0.756"", ""0.439"", ""0.561"", ""0.488"", ""0.732"", ""0.293"", ""0.098""]";"[""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000""]";"[""-0.244"", ""-0.561"", ""-0.439"", ""-0.512"", ""-0.268"", ""-0.707"", ""-0.902""]"
147;flags;1;False;meka.classifiers.multilabel.RT;weka.classifiers.trees.LMT -- -M 26 -W 0.31;22430;success;0.481;0.481;0.481;0.024;0.519;0.519;0.976;0.0;0.244;0.685;0.481;1.016;1.016;0.481;1.0;0.481;1.0;0.649;0.617;0.481;0.5;5.753;0.002;5.755;"[""0.756"", ""0.439"", ""0.561"", ""0.488"", ""0.732"", ""0.293"", ""0.098""]";"[""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000""]";"[""0.756"", ""0.439"", ""0.561"", ""0.488"", ""0.732"", ""0.293"", ""0.098""]";"[""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000""]";"[""0.756"", ""0.439"", ""0.561"", ""0.488"", ""0.732"", ""0.293"", ""0.098""]";"[""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000""]";"[""-0.244"", ""-0.561"", ""-0.439"", ""-0.512"", ""-0.268"", ""-0.707"", ""-0.902""]"
148;flags;1;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.DecisionTable -- -E rmse -S GreedyStepwise -X 1;58329;success;0.581;0.581;0.728;0.122;0.419;0.272;0.878;0.707;0.244;0.272;0.685;0.529;1.009;0.717;0.717;0.756;0.616;0.717;0.642;0.596;0.609;1.144;0.009;1.153;"[""0.756"", ""0.854"", ""0.512"", ""0.634"", ""0.659"", ""0.756"", ""0.927""]";"[""0.000"", ""0.823"", ""0.475"", ""0.632"", ""0.407"", ""0.491"", ""0.400""]";"[""0.756"", ""0.929"", ""0.560"", ""0.632"", ""0.750"", ""0.667"", ""1.000""]";"[""1.000"", ""0.722"", ""0.609"", ""0.600"", ""0.800"", ""0.333"", ""0.250""]";"[""0.756"", ""0.439"", ""0.561"", ""0.488"", ""0.732"", ""0.293"", ""0.098""]";"[""1.000"", ""0.341"", ""0.610"", ""0.463"", ""0.780"", ""0.146"", ""0.024""]";"[""-0.244"", ""0.098"", ""-0.049"", ""0.024"", ""-0.049"", ""0.146"", ""0.073""]"
149;flags;1;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.PART -- -M 26;17643;success;0.553;0.553;0.697;0.098;0.447;0.303;0.902;0.656;0.244;0.318;0.648;0.59;1.126;0.671;0.725;0.565;0.593;0.697;0.567;0.533;0.557;0.638;0.017;0.655;"[""0.756"", ""0.732"", ""0.390"", ""0.634"", ""0.732"", ""0.732"", ""0.902""]";"[""0.000"", ""0.678"", ""0.257"", ""0.578"", ""0.000"", ""0.672"", ""0.000""]";"[""0.756"", ""0.769"", ""0.464"", ""0.692"", ""0.732"", ""0.538"", ""0.000""]";"[""1.000"", ""0.556"", ""0.565"", ""0.450"", ""1.000"", ""0.583"", ""0.000""]";"[""0.756"", ""0.439"", ""0.561"", ""0.488"", ""0.732"", ""0.293"", ""0.098""]";"[""1.000"", ""0.317"", ""0.683"", ""0.317"", ""1.000"", ""0.317"", ""0.000""]";"[""-0.244"", ""0.122"", ""-0.122"", ""0.171"", ""-0.268"", ""-0.024"", ""0.098""]"
150;flags;1;False;meka.classifiers.multilabel.RT;weka.classifiers.rules.JRip -- -N 1.3 -O 1;9555;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
151;flags;1;False;meka.classifiers.multilabel.RT;weka.classifiers.trees.LMT -- -M 26 -W 0.31;22430;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
152;flags;1;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.PART -- -M 26;17643;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
153;flags;1;False;meka.classifiers.multilabel.RT;weka.classifiers.rules.JRip -- -N 1.3 -O 1;9555;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
154;flags;1;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.PART -- -M 26 -R -N 5;17483;success;0.553;0.553;0.697;0.098;0.447;0.303;0.902;0.656;0.244;0.318;0.648;0.59;1.126;0.671;0.725;0.565;0.593;0.697;0.567;0.533;0.557;0.528;0.003;0.531;"[""0.756"", ""0.732"", ""0.390"", ""0.634"", ""0.732"", ""0.732"", ""0.902""]";"[""0.000"", ""0.678"", ""0.257"", ""0.578"", ""0.000"", ""0.672"", ""0.000""]";"[""0.756"", ""0.769"", ""0.464"", ""0.692"", ""0.732"", ""0.538"", ""0.000""]";"[""1.000"", ""0.556"", ""0.565"", ""0.450"", ""1.000"", ""0.583"", ""0.000""]";"[""0.756"", ""0.439"", ""0.561"", ""0.488"", ""0.732"", ""0.293"", ""0.098""]";"[""1.000"", ""0.317"", ""0.683"", ""0.317"", ""1.000"", ""0.317"", ""0.000""]";"[""-0.244"", ""0.122"", ""-0.122"", ""0.171"", ""-0.268"", ""-0.024"", ""0.098""]"
155;flags;1;False;meka.classifiers.multilabel.RT;weka.classifiers.trees.LMT -- -M 26 -R -C -P -W 0.31;120447;success;0.402;0.402;0.578;0.0;0.598;0.422;1.0;0.514;0.537;0.412;0.631;0.883;1.08;0.559;0.58;0.398;0.443;0.569;0.417;0.493;0.458;2.261;0.001;2.262;"[""0.634"", ""0.171"", ""0.537"", ""0.439"", ""0.707"", ""0.683"", ""0.878""]";"[""0.178"", ""0.000"", ""0.514"", ""0.432"", ""0.580"", ""0.000"", ""0.000""]";"[""0.735"", ""0.233"", ""0.583"", ""0.435"", ""0.800"", ""0.000"", ""0.000""]";"[""0.806"", ""0.389"", ""0.609"", ""0.500"", ""0.800"", ""0.000"", ""0.000""]";"[""0.756"", ""0.439"", ""0.561"", ""0.488"", ""0.732"", ""0.293"", ""0.098""]";"[""0.829"", ""0.732"", ""0.585"", ""0.561"", ""0.732"", ""0.024"", ""0.024""]";"[""-0.073"", ""-0.293"", ""-0.024"", ""-0.073"", ""0.000"", ""0.268"", ""0.073""]"
156;flags;1;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.DecisionTable -- -E rmse -S GreedyStepwise -X 4;56664;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
157;flags;1;False;meka.classifiers.multilabel.RT;weka.classifiers.rules.JRip -- -N 1.3 -O 3;9555;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
158;flags;1;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.DecisionTable -- -E rmse -S BestFirst -X 1;53243;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
159;flags;1;False;meka.classifiers.multilabel.RT;weka.classifiers.trees.LMT -- -M 26 -C -P -W 0.31;22430;success;0.402;0.402;0.578;0.0;0.598;0.422;1.0;0.514;0.537;0.412;0.631;0.883;1.08;0.559;0.58;0.398;0.443;0.569;0.417;0.493;0.458;2.622;0.002;2.624;"[""0.634"", ""0.171"", ""0.537"", ""0.439"", ""0.707"", ""0.683"", ""0.878""]";"[""0.178"", ""0.000"", ""0.514"", ""0.432"", ""0.580"", ""0.000"", ""0.000""]";"[""0.735"", ""0.233"", ""0.583"", ""0.435"", ""0.800"", ""0.000"", ""0.000""]";"[""0.806"", ""0.389"", ""0.609"", ""0.500"", ""0.800"", ""0.000"", ""0.000""]";"[""0.756"", ""0.439"", ""0.561"", ""0.488"", ""0.732"", ""0.293"", ""0.098""]";"[""0.829"", ""0.732"", ""0.585"", ""0.561"", ""0.732"", ""0.024"", ""0.024""]";"[""-0.073"", ""-0.293"", ""-0.024"", ""-0.073"", ""0.000"", ""0.268"", ""0.073""]"
160;flags;1;False;meka.classifiers.multilabel.RT;weka.classifiers.rules.JRip -- -N 1.3 -O 1;9555;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
161;flags;1;False;meka.classifiers.multilabel.RT;weka.classifiers.rules.JRip -- -N 1.3 -O 1;9555;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
162;flags;1;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.PART -- -M 26 -R -N 2;15126;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
163;flags;1;False;meka.classifiers.multilabel.RT;weka.classifiers.rules.JRip -- -N 1.3 -O 1;9555;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
164;flags;1;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.DecisionTable -- -E rmse -S GreedyStepwise -X 4;56664;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
165;flags;1;False;meka.classifiers.multilabel.RT;weka.classifiers.rules.JRip -- -N 1.3 -O 1;9555;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
166;flags;1;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.DecisionTable -- -E rmse -S GreedyStepwise -X 4;56664;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
167;flags;1;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.DecisionTable -- -E rmse -S GreedyStepwise -X 4;56664;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
168;flags;1;False;meka.classifiers.multilabel.RT;weka.classifiers.rules.JRip -- -N 1.3 -O 1;9555;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
169;flags;1;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.DecisionTable -- -E rmse -S GreedyStepwise -X 4;56664;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
170;flags;1;False;meka.classifiers.multilabel.RT;weka.classifiers.trees.LMT -- -M 26 -W 0.31;22430;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
171;flags;1;False;meka.classifiers.multilabel.CC;weka.classifiers.rules.PART -- -M 26;17643;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
172;flags;1;False;meka.classifiers.multilabel.RT;weka.classifiers.rules.JRip -- -N 1.3 -O 1;9555;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
173;flags;1;False;meka.classifiers.multilabel.RT;weka.classifiers.rules.JRip -- -N 1.3 -O 1;9555;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
174;flags;1;False;meka.classifiers.multilabel.RT;weka.classifiers.trees.LMT -- -M 26 -R -C -W 0.31;120743;success;0.481;0.481;0.481;0.024;0.519;0.519;0.976;0.0;0.244;0.685;0.481;1.016;1.016;0.481;1.0;0.481;1.0;0.649;0.617;0.481;0.5;2.516;0.002;2.518;"[""0.756"", ""0.439"", ""0.561"", ""0.488"", ""0.732"", ""0.293"", ""0.098""]";"[""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000"", ""0.000""]";"[""0.756"", ""0.439"", ""0.561"", ""0.488"", ""0.732"", ""0.293"", ""0.098""]";"[""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000""]";"[""0.756"", ""0.439"", ""0.561"", ""0.488"", ""0.732"", ""0.293"", ""0.098""]";"[""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000"", ""1.000""]";"[""-0.244"", ""-0.561"", ""-0.439"", ""-0.512"", ""-0.268"", ""-0.707"", ""-0.902""]"
175;flags;2;True;meka.classifiers.multilabel.PSt -P 4 -N 4;weka.classifiers.lazy.KStar -- -B 34 -E -M a;30186;success;0.526;0.526;0.681;0.077;0.474;0.319;0.923;0.617;0.205;0.241;0.75;0.544;0.93;0.667;0.672;0.438;0.514;0.669;0.459;0.571;0.562;0.633;0.221;0.854;"[""0.795"", ""0.590"", ""0.538"", ""0.590"", ""0.744"", ""0.667"", ""0.846""]";"[""0.000"", ""0.472"", ""0.269"", ""0.000"", ""0.000"", ""0.497"", ""0.000""]";"[""0.795"", ""0.600"", ""0.529"", ""0.000"", ""0.744"", ""0.400"", ""0.000""]";"[""1.000"", ""0.333"", ""0.900"", ""0.000"", ""1.000"", ""0.364"", ""0.000""]";"[""0.795"", ""0.462"", ""0.513"", ""0.410"", ""0.744"", ""0.282"", ""0.154""]";"[""1.000"", ""0.256"", ""0.872"", ""0.000"", ""1.000"", ""0.256"", ""0.000""]";"[""-0.205"", ""0.205"", ""-0.359"", ""0.410"", ""-0.256"", ""0.026"", ""0.154""]"
176;flags;2;False;meka.classifiers.multilabel.LC;weka.classifiers.rules.DecisionTable -- -E auc -S BestFirst -X 1;16207;success;0.566;0.566;0.729;0.256;0.434;0.271;0.744;0.678;0.205;0.269;0.656;0.527;0.993;0.72;0.72;0.728;0.65;0.72;0.667;0.621;0.625;1.222;0.004;1.226;"[""0.795"", ""0.641"", ""0.590"", ""0.718"", ""0.744"", ""0.667"", ""0.949""]";"[""0.000"", ""0.604"", ""0.588"", ""0.575"", ""0.181"", ""0.566"", ""0.800""]";"[""0.795"", ""0.643"", ""0.611"", ""0.875"", ""0.757"", ""0.417"", ""1.000""]";"[""1.000"", ""0.500"", ""0.550"", ""0.412"", ""0.966"", ""0.455"", ""0.667""]";"[""0.795"", ""0.462"", ""0.513"", ""0.436"", ""0.744"", ""0.282"", ""0.154""]";"[""1.000"", ""0.359"", ""0.462"", ""0.205"", ""0.949"", ""0.308"", ""0.103""]";"[""-0.205"", ""0.103"", ""0.051"", ""0.231"", ""-0.205"", ""-0.026"", ""0.051""]"
177;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.lazy.IBk -- -K 6 -I;137408;success;0.58;0.58;0.736;0.077;0.42;0.264;0.923;0.706;0.154;0.183;0.827;0.47;0.514;0.727;0.727;0.6;0.599;0.727;0.589;0.755;0.787;0.678;0.136;0.814;"[""0.769"", ""0.744"", ""0.667"", ""0.692"", ""0.718"", ""0.744"", ""0.821""]";"[""0.000"", ""0.745"", ""0.664"", ""0.685"", ""0.539"", ""0.422"", ""0.000""]";"[""0.789"", ""0.700"", ""0.667"", ""0.647"", ""0.800"", ""0.600"", ""0.000""]";"[""0.968"", ""0.778"", ""0.700"", ""0.647"", ""0.828"", ""0.273"", ""0.000""]";"[""0.795"", ""0.462"", ""0.513"", ""0.436"", ""0.744"", ""0.282"", ""0.154""]";"[""0.974"", ""0.513"", ""0.538"", ""0.436"", ""0.769"", ""0.128"", ""0.026""]";"[""-0.179"", ""-0.051"", ""-0.026"", ""0.000"", ""-0.026"", ""0.154"", ""0.128""]"
178;flags;2;False;meka.classifiers.multilabel.CDT -H 1 -X None -I 763 -Ic 27;weka.classifiers.trees.REPTree -- -M 16 -L -1 -P;21307;success;0.54;0.54;0.711;0.051;0.46;0.289;0.949;0.681;0.154;0.235;0.799;0.543;0.588;0.693;0.72;0.532;0.572;0.706;0.548;0.631;0.677;0.6;0.383;0.983;"[""0.795"", ""0.667"", ""0.718"", ""0.590"", ""0.744"", ""0.615"", ""0.846""]";"[""0.000"", ""0.643"", ""0.716"", ""0.590"", ""0.329"", ""0.295"", ""0.000""]";"[""0.795"", ""0.667"", ""0.714"", ""0.526"", ""0.771"", ""0.250"", ""0.000""]";"[""1.000"", ""0.556"", ""0.750"", ""0.588"", ""0.931"", ""0.182"", ""0.000""]";"[""0.795"", ""0.462"", ""0.513"", ""0.436"", ""0.744"", ""0.282"", ""0.154""]";"[""1.000"", ""0.385"", ""0.538"", ""0.487"", ""0.897"", ""0.205"", ""0.000""]";"[""-0.205"", ""0.077"", ""-0.026"", ""-0.051"", ""-0.154"", ""0.077"", ""0.154""]"
179;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.rules.JRip -- -N 2.9 -E -P -O 1;41307;success;0.558;0.558;0.703;0.179;0.442;0.297;0.821;0.597;0.333;0.312;0.735;0.556;0.862;0.686;0.712;0.559;0.608;0.699;0.578;0.581;0.611;0.742;0.007;0.749;"[""0.744"", ""0.590"", ""0.615"", ""0.667"", ""0.769"", ""0.692"", ""0.846""]";"[""0.518"", ""0.574"", ""0.615"", ""0.628"", ""0.454"", ""0.673"", ""0.000""]";"[""0.839"", ""0.542"", ""0.632"", ""0.643"", ""0.794"", ""0.467"", ""0.000""]";"[""0.839"", ""0.722"", ""0.600"", ""0.529"", ""0.931"", ""0.636"", ""0.000""]";"[""0.795"", ""0.462"", ""0.513"", ""0.436"", ""0.744"", ""0.282"", ""0.154""]";"[""0.795"", ""0.615"", ""0.487"", ""0.359"", ""0.872"", ""0.385"", ""0.000""]";"[""0.000"", ""-0.154"", ""0.026"", ""0.077"", ""-0.128"", ""-0.103"", ""0.154""]"
180;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;0.545;0.545;0.718;0.051;0.455;0.282;0.949;0.689;0.154;0.202;0.825;0.503;0.527;0.701;0.727;0.63;0.604;0.714;0.575;0.645;0.685;0.648;0.004;0.652;"[""0.795"", ""0.641"", ""0.615"", ""0.615"", ""0.744"", ""0.718"", ""0.897""]";"[""0.000"", ""0.604"", ""0.573"", ""0.525"", ""0.000"", ""0.000"", ""0.500""]";"[""0.795"", ""0.643"", ""0.692"", ""0.533"", ""0.744"", ""0.000"", ""1.000""]";"[""1.000"", ""0.500"", ""0.450"", ""0.941"", ""1.000"", ""0.000"", ""0.333""]";"[""0.795"", ""0.462"", ""0.513"", ""0.436"", ""0.744"", ""0.282"", ""0.154""]";"[""1.000"", ""0.359"", ""0.333"", ""0.769"", ""1.000"", ""0.000"", ""0.051""]";"[""-0.205"", ""0.103"", ""0.179"", ""-0.333"", ""-0.256"", ""0.282"", ""0.103""]"
181;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.rules.PART -- -M 4 -B -R -N 2;27619;success;0.549;0.549;0.711;0.051;0.451;0.289;0.949;0.664;0.385;0.3;0.717;0.634;0.673;0.693;0.72;0.529;0.566;0.706;0.536;0.536;0.564;0.841;0.004;0.845;"[""0.795"", ""0.487"", ""0.692"", ""0.769"", ""0.744"", ""0.641"", ""0.846""]";"[""0.000"", ""0.484"", ""0.665"", ""0.769"", ""0.000"", ""0.164"", ""0.000""]";"[""0.795"", ""0.455"", ""0.786"", ""0.722"", ""0.744"", ""0.200"", ""0.000""]";"[""1.000"", ""0.556"", ""0.550"", ""0.765"", ""1.000"", ""0.091"", ""0.000""]";"[""0.795"", ""0.462"", ""0.513"", ""0.436"", ""0.744"", ""0.282"", ""0.154""]";"[""1.000"", ""0.564"", ""0.359"", ""0.462"", ""1.000"", ""0.128"", ""0.000""]";"[""-0.205"", ""-0.103"", ""0.154"", ""-0.026"", ""-0.256"", ""0.154"", ""0.154""]"
182;flags;2;False;meka.classifiers.multilabel.CDT -H 1 -X None -I 763 -Ic 27;weka.classifiers.trees.REPTree -- -M 16 -L -1 -P;21307;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
183;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
184;flags;2;False;meka.classifiers.multilabel.LC;weka.classifiers.trees.LMT -- -M 32 -P -W 0.41000000000000003;56941;success;0.579;0.579;0.729;0.128;0.421;0.271;0.872;0.734;0.205;0.256;0.682;0.527;0.993;0.72;0.72;0.61;0.56;0.72;0.533;0.544;0.572;1.091;0.004;1.095;"[""0.795"", ""0.718"", ""0.692"", ""0.667"", ""0.744"", ""0.641"", ""0.846""]";"[""0.000"", ""0.644"", ""0.538"", ""0.381"", ""0.000"", ""0.298"", ""0.000""]";"[""0.795"", ""0.818"", ""0.625"", ""1.000"", ""0.744"", ""0.286"", ""0.000""]";"[""1.000"", ""0.500"", ""1.000"", ""0.235"", ""1.000"", ""0.182"", ""0.000""]";"[""0.795"", ""0.462"", ""0.513"", ""0.436"", ""0.744"", ""0.282"", ""0.154""]";"[""1.000"", ""0.282"", ""0.821"", ""0.103"", ""1.000"", ""0.179"", ""0.000""]";"[""-0.205"", ""0.179"", ""-0.308"", ""0.333"", ""-0.256"", ""0.103"", ""0.154""]"
185;flags;2;False;meka.classifiers.multilabel.LC;weka.classifiers.rules.DecisionTable -- -E auc -S BestFirst -X 1;16207;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
186;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.lazy.IBk -- -K 6 -I;137408;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
187;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 4 -K 0 -depth 0 -N 0;28631;success;0.561;0.561;0.736;0.051;0.439;0.264;0.949;0.649;0.154;0.23;0.768;0.487;0.663;0.714;0.758;0.737;0.695;0.735;0.682;0.685;0.709;0.457;0.004;0.461;"[""0.692"", ""0.744"", ""0.667"", ""0.744"", ""0.769"", ""0.641"", ""0.897""]";"[""0.218"", ""0.714"", ""0.661"", ""0.746"", ""0.454"", ""0.662"", ""0.500""]";"[""0.788"", ""0.786"", ""0.706"", ""0.667"", ""0.794"", ""0.421"", ""1.000""]";"[""0.839"", ""0.611"", ""0.600"", ""0.824"", ""0.931"", ""0.727"", ""0.333""]";"[""0.795"", ""0.462"", ""0.513"", ""0.436"", ""0.744"", ""0.282"", ""0.154""]";"[""0.846"", ""0.359"", ""0.436"", ""0.538"", ""0.872"", ""0.487"", ""0.051""]";"[""-0.051"", ""0.103"", ""0.077"", ""-0.103"", ""-0.128"", ""-0.205"", ""0.103""]"
188;flags;2;False;meka.classifiers.multilabel.LC;weka.classifiers.rules.DecisionTable -- -E auc -S BestFirst -X 1;16207;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
189;flags;2;False;meka.classifiers.multilabel.LC;weka.classifiers.rules.DecisionTable -- -E auc -S BestFirst -X 1;16207;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
190;flags;2;False;meka.classifiers.multilabel.LC;weka.classifiers.rules.DecisionTable -- -E auc -I -S GreedyStepwise -X 1;23287;success;0.566;0.566;0.729;0.256;0.434;0.271;0.744;0.678;0.205;0.269;0.656;0.527;0.993;0.72;0.72;0.728;0.65;0.72;0.667;0.621;0.625;0.659;0.004;0.663;"[""0.795"", ""0.641"", ""0.590"", ""0.718"", ""0.744"", ""0.667"", ""0.949""]";"[""0.000"", ""0.604"", ""0.588"", ""0.575"", ""0.181"", ""0.566"", ""0.800""]";"[""0.795"", ""0.643"", ""0.611"", ""0.875"", ""0.757"", ""0.417"", ""1.000""]";"[""1.000"", ""0.500"", ""0.550"", ""0.412"", ""0.966"", ""0.455"", ""0.667""]";"[""0.795"", ""0.462"", ""0.513"", ""0.436"", ""0.744"", ""0.282"", ""0.154""]";"[""1.000"", ""0.359"", ""0.462"", ""0.205"", ""0.949"", ""0.308"", ""0.103""]";"[""-0.205"", ""0.103"", ""0.051"", ""0.231"", ""-0.205"", ""-0.026"", ""0.051""]"
191;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.lazy.IBk -- -K 6 -I;137408;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
192;flags;2;False;meka.classifiers.multilabel.BR;weka.classifiers.trees.RandomTree -- -M 32 -K 0 -depth 0 -N 0;15505;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
