701;flags;0;False;meka.classifiers.multilabel.BR;weka.classifiers.rules.JRip -- -N 3.6 -E -O 1;30252;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
702;flags;0;True;meka.classifiers.multilabel.LC;weka.classifiers.functions.MultilayerPerceptron -- -L 0.2 -M 0.5 -H 7 -B -D;61290;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
703;flags;0;False;meka.classifiers.multilabel.RAkELd -P 4 -N 3 -batch-size 11;weka.classifiers.trees.RandomTree -- -M 27 -K 0 -depth 15 -N 0;9142;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
704;flags;0;False;meka.classifiers.multilabel.BR;weka.classifiers.rules.JRip -- -N 3.6 -E -O 1;30252;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
705;flags;0;False;meka.classifiers.multilabel.PSt -P 2 -N 0;weka.classifiers.bayes.NaiveBayes -- -K;109659;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
706;flags;0;False;meka.classifiers.multilabel.PSt -P 2 -N 0;weka.classifiers.bayes.NaiveBayes -- -K;109659;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
707;flags;0;False;meka.classifiers.multilabel.BR;weka.classifiers.rules.JRip -- -N 3.6 -E -O 1;30252;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
708;flags;0;False;meka.classifiers.multilabel.RAkELd -P 4 -N 3 -batch-size 11;weka.classifiers.trees.RandomTree -- -M 27 -K 0 -depth 15 -N 0;9142;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
709;flags;0;False;meka.classifiers.multilabel.PSt -P 2 -N 0;weka.classifiers.bayes.NaiveBayes -- -K;109659;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
710;flags;0;False;meka.classifiers.multilabel.RAkELd -P 4 -N 3 -batch-size 11;weka.classifiers.trees.RandomTree -- -M 27 -K 0 -depth 15 -N 0;9142;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
711;flags;0;False;meka.classifiers.multilabel.PSt -P 2 -N 0;weka.classifiers.bayes.NaiveBayes -- -K;109659;success;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
